"Site: Sample Site Canada",,,,,,,,
Thermistor: VT3,,,,,,,,
,,,,,,,,
Date,Time,Bead #1(-0.60m),Bead #2(-0.90m),Bead #3(-1.20m),Bead #4(-1.50m),Bead #5(-1.80m),Bead #6(-2.10m),Bead #7(-2.40m)
09/25/1999,0:00:00,-0.1697,-0.0062,0.1202,0.1533,0.1968,0.1998,0.1644
09/25/1999,12:00:00,0.1495,0.1207,0.1355,0.133,0.1968,0.2147,0.1747
09/26/1999,0:00:00,0.7108,0.394,0.176,0.133,0.1765,0.1998,0.1644
09/26/1999,12:00:00,0.5139,0.5,0.2975,0.1533,0.1616,0.1895,0.1442
09/27/1999,0:00:00,0.3117,0.4394,0.3379,0.1838,0.1616,0.1895,0.1239
09/27/1999,12:00:00,0.2458,0.4142,0.3379,0.219,0.1968,0.1895,0.1239
09/28/1999,0:00:00,-0.0278,0.2319,0.3177,0.2395,0.2173,0.1998,0.1442
09/28/1999,12:00:00,-0.2662,0.0294,0.242,0.219,0.2323,0.1998,0.1442
09/29/1999,0:00:00,-1.0401,-0.3767,0.1863,0.1987,0.2173,0.2147,0.1442
09/29/1999,12:00:00,-0.8615,-0.3207,0.095,0.1533,0.1968,0.1998,0.1239
09/30/1999,0:00:00,-1.7159,-0.7889,0.0139,0.133,0.1968,0.1998,0.1239
09/30/1999,12:00:00,-1.347,-0.6667,-0.0419,0.0772,0.1765,0.1895,0.1239
10/01/1999,0:00:00,-1.6493,-0.7481,-0.0825,0.0569,0.1616,0.1998,0.1239
10/01/1999,12:00:00,-1.6749,-0.7889,-0.1483,0.0114,0.1311,0.1895,0.1086
10/02/1999,0:00:00,-2.3081,-1.0744,-0.1586,-0.0444,0.0955,0.149,0.0834
10/02/1999,12:00:00,-2.3236,-1.0744,-0.1586,-0.0444,0.0703,0.1337,0.0834
10/03/1999,0:00:00,-2.8362,-1.3505,-0.1586,-0.0647,0.055,0.1085,0.0681
10/03/1999,12:00:00,-2.2256,-1.1152,-0.1789,-0.1052,0.0145,0.0729,0.0478
10/04/1999,0:00:00,-2.8726,-1.4173,-0.1992,-0.1052,0.0145,0.0729,0.0276
10/04/1999,12:00:00,-2.3081,-1.1869,-0.1992,-0.1052,-0.0008,0.0527,0.0123
10/05/1999,0:00:00,-4.1582,-2.1725,-0.3111,-0.1508,-0.0261,0.0274,0.0023
10/05/1999,12:00:00,-3.4294,-1.9511,-0.2957,-0.1508,-0.0261,0.0274,-0.013
10/06/1999,0:00:00,-5.7591,-3.1775,-0.3567,-0.1508,-0.0463,0.0121,-0.013
10/06/1999,12:00:00,-3.4976,-2.2239,-0.377,-0.1508,-0.0261,0.0121,-0.0332
10/07/1999,0:00:00,-3.9322,-2.4046,-0.3567,-0.1508,-0.0261,0.0274,-0.013
10/07/1999,12:00:00,-3.4086,-2.2239,-0.3973,-0.1508,-0.0666,-0.0081,-0.0535
10/08/1999,0:00:00,-3.2834,-2.1725,-0.438,-0.1508,-0.0666,-0.0284,-0.0738
10/08/1999,12:00:00,-2.9556,-2.0334,-0.438,-0.1508,-0.0666,-0.0284,-0.0535
10/09/1999,0:00:00,-2.7427,-1.8945,-0.4533,-0.1508,-0.0666,-0.0284,-0.0738
10/09/1999,12:00:00,-2.9141,-1.9923,-0.484,-0.1508,-0.0869,-0.0487,-0.0941
10/10/1999,0:00:00,-3.4294,-2.2239,-0.499,-0.1508,-0.0869,-0.0284,-0.0738
10/10/1999,12:00:00,-3.5185,-2.3375,-0.5397,-0.1508,-0.0869,-0.0487,-0.0941
10/11/1999,0:00:00,-4.7713,-2.9488,-0.56,-0.1508,-0.0666,-0.0081,-0.0535
10/11/1999,12:00:00,-4.5647,-3.0527,-0.6975,-0.1814,-0.1072,-0.0487,-0.0941
10/12/1999,0:00:00,-5.2022,-3.4225,-0.7233,-0.1508,-0.0869,-0.0284,-0.0535
10/12/1999,12:00:00,-4.1582,-3.0111,-0.8098,-0.2017,-0.1274,-0.069,-0.0941
10/13/1999,0:00:00,-3.4976,-2.7152,-0.8456,-0.2017,-0.0869,-0.0487,-0.0738
10/13/1999,12:00:00,-4.0793,-2.8865,-0.9067,-0.2017,-0.0463,-0.0284,-0.0535
10/14/1999,0:00:00,-6.3205,-4.109,-1.0496,-0.2779,-0.0463,-0.0487,-0.0738
10/14/1999,12:00:00,-5.1704,-3.6317,-1.1314,-0.2576,-0.0108,-0.0284,-0.0535
10/15/1999,0:00:00,-6.169,-4.2408,-1.2695,-0.3236,-0.0108,-0.0284,-0.0738
10/15/1999,12:00:00,-5.4323,-3.9461,-1.3107,-0.2576,-0.0108,-0.0284,-0.0738
10/16/1999,0:00:00,-7.9894,-5.4244,-1.5411,-0.3389,-0.0108,-0.0284,-0.0738
10/16/1999,12:00:00,-7.9894,-5.5048,-1.7208,-0.3592,-0.0008,-0.0081,-0.0535
10/17/1999,0:00:00,-11.0624,-7.4053,-2.0502,-0.4558,-0.0261,-0.0487,-0.0738
10/17/1999,12:00:00,-9.0397,-6.5678,-2.2564,-0.4762,-0.0108,-0.0284,-0.0738
10/18/1999,0:00:00,-9.7412,-7.1196,-2.5461,-0.5015,-0.0008,-0.0284,-0.0535
10/18/1999,12:00:00,-8.7285,-6.704,-2.774,-0.6339,-0.0108,-0.0487,-0.0738
10/19/1999,0:00:00,-9.5635,-7.2293,-3.0443,-0.7411,-0.0108,-0.0284,-0.0738
10/19/1999,12:00:00,-9.2157,-7.1196,-3.2317,-0.8888,-0.0108,-0.0487,-0.0738
10/20/1999,0:00:00,-9.1587,-7.1416,-3.3986,-1.0675,-0.0108,-0.0487,-0.0738
10/20/1999,12:00:00,-9.1986,-7.2074,-3.5661,-1.2515,-0.0261,-0.0487,-0.0738
10/21/1999,0:00:00,-9.7815,-7.5984,-3.7336,-1.4311,-0.0261,-0.0487,-0.0738
10/21/1999,12:00:00,-10.3307,-8.0033,-3.9173,-1.6001,-0.0261,-0.0487,-0.0941
10/22/1999,0:00:00,-10.933,-8.4503,-4.1172,-1.7644,-0.0261,-0.069,-0.0941
10/22/1999,12:00:00,-10.3307,-8.2207,-4.3228,-1.9444,-0.0463,-0.069,-0.0941
10/23/1999,0:00:00,-8.8869,-7.5101,-4.4232,-2.1094,-0.0463,-0.0487,-0.0941
10/23/1999,12:00:00,-7.9562,-6.9498,-4.4444,-2.2382,-0.0666,-0.069,-0.0941
10/24/1999,0:00:00,-8.3747,-7.0316,-4.4444,-2.3828,-0.0666,-0.0487,-0.0738
10/24/1999,12:00:00,-8.4812,-7.0155,-4.4444,-2.4502,-0.1072,-0.069,-0.0941
10/25/1999,0:00:00,-7.8506,-6.7205,-4.4444,-2.5486,-0.173,-0.0892,-0.1296
10/25/1999,12:00:00,-7.723,-6.5788,-4.365,-2.5849,-0.173,-0.069,-0.0941
10/26/1999,0:00:00,-7.8339,-6.617,-4.4073,-2.6521,-0.2239,-0.069,-0.1143
10/26/1999,12:00:00,-6.821,-6.0965,-4.3228,-2.7092,-0.2392,-0.0892,-0.1143
10/27/1999,0:00:00,-6.2392,-5.6871,-4.2174,-2.7299,-0.3204,-0.069,-0.0941
10/27/1999,12:00:00,-5.7863,-5.355,-4.1065,-2.7299,-0.4424,-0.069,-0.1143
10/28/1999,0:00:00,-6.169,-5.3817,-3.9645,-2.6935,-0.544,-0.069,-0.1143
10/28/1999,12:00:00,-6.7337,-5.5637,-3.9015,-2.6677,-0.7222,-0.069,-0.1143
10/29/1999,0:00:00,-7.4246,-5.9455,-3.8805,-2.6314,-0.8345,-0.0892,-0.1296
10/29/1999,12:00:00,-6.4289,-5.537,-3.8385,-2.6314,-0.8703,-0.069,-0.1143
10/30/1999,0:00:00,-5.8723,-5.2535,-3.8805,-2.6935,-0.9927,-0.069,-0.1143
10/30/1999,12:00:00,-5.5231,-4.9979,-3.7965,-2.6935,-1.0743,-0.069,-0.0941
10/31/1999,0:00:00,-5.0956,-4.7056,-3.7495,-2.6935,-1.1561,-0.0892,-0.1296
10/31/1999,12:00:00,-4.883,-4.51,-3.6289,-2.6677,-1.2382,-0.069,-0.1296
11/01/1999,0:00:00,-5.5231,-4.6844,-3.5295,-2.6107,-1.2737,-0.069,-0.1296
11/01/1999,12:00:00,-5.5231,-4.674,-3.4459,-2.5693,-1.3096,-0.069,-0.1296
11/02/1999,0:00:00,-7.0177,-5.4462,-3.5031,-2.5693,-1.3764,-0.0892,-0.1599
11/02/1999,12:00:00,-5.9154,-4.8596,-3.4459,-2.5486,-1.3559,-0.069,-0.1296
11/03/1999,0:00:00,-6.3205,-5.1469,-3.5295,-2.5849,-1.4533,-0.1045,-0.1599
11/03/1999,12:00:00,-7.254,-5.6066,-3.5871,-2.5849,-1.4788,-0.1045,-0.1599
11/04/1999,0:00:00,-8.1343,-6.2208,-3.7127,-2.6107,-1.4788,-0.1045,-0.1599
11/04/1999,12:00:00,-9.6096,-7.2459,-3.9645,-2.6677,-1.4889,-0.1045,-0.1296
11/05/1999,0:00:00,-12.6408,-9.1953,-4.365,-2.8023,-1.5658,-0.1348,-0.1599
11/05/1999,12:00:00,-11.6502,-8.9686,-4.7039,-2.9688,-1.6068,-0.1348,-0.1599
11/06/1999,0:00:00,-10.6279,-8.5849,-4.9801,-3.1717,-1.7044,-0.1348,-0.1599
11/06/1999,12:00:00,-10.5812,-8.6299,-5.2306,-3.4011,-1.8021,-0.1654,-0.1599
11/07/1999,0:00:00,-11.7756,-9.349,-5.4392,-3.5686,-1.8947,-0.1654,-0.1599
11/07/1999,12:00:00,-12.0342,-9.6694,-5.7074,-3.752,-2.0337,-0.2416,-0.1599
11/08/1999,0:00:00,-11.6263,-9.5316,-5.8799,-3.9356,-2.1624,-0.2976,-0.1599
11/08/1999,12:00:00,-11.5606,-9.5774,-6.0741,-4.109,-2.2966,-0.3432,-0.1599
11/09/1999,0:00:00,-11.9439,-9.8357,-6.2528,-4.2779,-2.426,-0.4602,-0.1599
11/09/1999,12:00:00,-11.2693,-9.5545,-6.3772,-4.4469,-2.5708,-0.5876,-0.1599
11/10/1999,0:00:00,-9.6325,-8.6693,-6.3555,-4.5366,-2.6899,-0.669,-0.1599
11/10/1999,12:00:00,-8.678,-8.0701,-6.3121,-4.6425,-2.7987,-0.8117,-0.1599
11/11/1999,0:00:00,-7.6066,-7.3613,-6.1336,-4.664,-2.8871,-0.9953,-0.1702
11/11/1999,12:00:00,-9.068,-7.6927,-5.9068,-4.5949,-2.9702,-1.1386,-0.2261
11/12/1999,0:00:00,-12.3484,-9.3718,-5.8422,-4.5155,-3.0118,-1.3177,-0.2667
11/12/1999,12:00:00,-11.305,-9.0536,-5.9068,-4.4572,-3.0118,-1.4406,-0.3073
11/13/1999,0:00:00,-10.1452,-8.6074,-5.9824,-4.4943,-3.0533,-1.5276,-0.3886
11/13/1999,12:00:00,-10.7918,-8.9234,-6.0741,-4.579,-3.0898,-1.6097,-0.4853
11/14/1999,0:00:00,-13.1319,-10.2518,-6.2528,-4.6425,-3.1366,-1.7278,-0.592
11/14/1999,12:00:00,-11.5606,-9.5545,-6.3285,-4.7221,-3.1939,-1.7743,-0.6941
11/15/1999,0:00:00,-13.6354,-10.7354,-6.5296,-4.7965,-3.2564,-1.872,-0.8114
11/15/1999,12:00:00,-16.6435,-12.6547,-6.8513,-4.9188,-3.319,-1.9388,-0.8979
11/16/1999,0:00:00,-16.0729,-12.6239,-7.1418,-5.0838,-3.4233,-2.0161,-0.9796
11/16/1999,12:00:00,-16.1931,-12.9548,-7.472,-5.2758,-3.5123,-2.0934,-1.0612
11/17/1999,0:00:00,-16.6909,-13.3443,-7.7822,-5.4739,-3.6536,-2.1861,-1.1329
11/17/1999,12:00:00,-16.0729,-13.1705,-8.0435,-5.7099,-3.8054,-2.3048,-1.2251
11/18/1999,0:00:00,-13.411,-11.6762,-8.0826,-5.8824,-3.9578,-2.4237,-1.2965
11/18/1999,12:00:00,-13.2373,-11.4734,-8.0936,-6.0334,-4.1102,-2.4912,-1.3838
11/19/1999,0:00:00,-15.3935,-12.5388,-8.1551,-6.1198,-4.1999,-2.5947,-1.4657
11/19/1999,12:00:00,-13.2126,-11.2952,-8.0658,-6.1577,-4.3105,-2.7139,-1.5527
11/20/1999,0:00:00,-14.4692,-11.9578,-8.0826,-6.19,-4.4109,-2.8074,-1.6553
11/20/1999,12:00:00,-13.9997,-11.6641,-8.0213,-6.19,-4.4691,-2.8904,-1.7324
11/21/1999,0:00:00,-14.3293,-11.8496,-8.0435,-6.2116,-4.4954,-2.9736,-1.7994
11/21/1999,12:00:00,-15.7613,-12.6547,-8.1104,-6.228,-4.5377,-3.0308,-1.856
11/22/1999,0:00:00,-15.867,-12.777,-8.1997,-6.2929,-4.6012,-3.0881,-1.9535
11/22/1999,12:00:00,-14.5719,-12.1505,-8.239,-6.342,-4.6435,-3.1557,-2.0412
11/23/1999,0:00:00,-14.8155,-12.2956,-8.2782,-6.4017,-4.7019,-3.2182,-2.1185
11/23/1999,12:00:00,-13.1566,-11.2952,-8.1997,-6.4452,-4.7655,-3.2808,-2.1493
11/24/1999,0:00:00,-12.3727,-10.8526,-8.1104,-6.4829,-4.8187,-3.3851,-2.2473
11/24/1999,12:00:00,-11.9136,-10.5193,-8.0435,-6.4829,-4.8347,-3.4217,-2.294
11/25/1999,0:00:00,-12.2333,-10.6242,-7.9767,-6.4669,-4.8985,-3.4741,-2.3712
11/25/1999,12:00:00,-11.2693,-9.997,-7.8655,-6.4234,-4.8985,-3.516,-2.4281
11/26/1999,0:00:00,-10.7042,-9.6235,-7.7378,-6.3797,-4.9197,-3.5736,-2.4749
11/26/1999,12:00:00,-10.8387,-9.6235,-7.6492,-6.342,-4.941,-3.6154,-2.5577
11/27/1999,0:00:00,-10.6513,-9.423,-7.5328,-6.2713,-4.9197,-3.5996,-2.5577
11/27/1999,12:00:00,-10.8387,-9.4691,-7.4445,-6.228,-4.9197,-3.6573,-2.6198
11/28/1999,0:00:00,-10.7042,-9.3718,-7.3397,-6.1577,-4.8772,-3.6782,-2.6612
11/28/1999,12:00:00,-10.4821,-9.1726,-7.2517,-6.1361,-4.8772,-3.6992,-2.7183
11/29/1999,0:00:00,-12.3301,-10.1299,-7.2517,-6.0766,-4.8772,-3.6992,-2.7597
11/29/1999,12:00:00,-11.1688,-9.4691,-7.1637,-5.9955,-4.8079,-3.6782,-2.739
11/30/1999,0:00:00,-11.6502,-9.7382,-7.1198,-5.9686,-4.8079,-3.6782,-2.7597
11/30/1999,12:00:00,-16.7518,-12.6791,-7.3838,-5.9471,-4.7867,-3.6573,-2.7856
12/01/1999,0:00:00,-18.1366,-13.6493,-7.6271,-6.0118,-4.8079,-3.6992,-2.7961
12/01/1999,12:00:00,-16.5624,-12.9302,-7.7378,-6.0766,-4.8187,-3.7201,-2.8114
12/02/1999,0:00:00,-15.1326,-12.1505,-7.8266,-6.1577,-4.8347,-3.7201,-2.8325
12/02/1999,12:00:00,-15.834,-12.6055,-7.9599,-6.2553,-4.8772,-3.736,-2.8325
12/03/1999,0:00:00,-16.9356,-13.4123,-8.2221,-6.3797,-4.973,-3.7672,-2.8948
12/03/1999,12:00:00,-18.2855,-14.4259,-8.4575,-6.5047,-5.0421,-3.804,-2.8948
12/04/1999,0:00:00,-18.6998,-14.8294,-8.7671,-6.6734,-5.1434,-3.867,-2.9465
12/04/1999,12:00:00,-16.5894,-13.7243,-8.8745,-6.8538,-5.2126,-3.9196,-2.9779
12/05/1999,0:00:00,-17.6525,-14.3687,-9.0616,-7.0127,-5.3408,-4.0141,-3.0402
12/05/1999,12:00:00,-18.045,-14.6626,-9.2379,-7.1662,-5.4639,-4.093,-3.0975
12/06/1999,0:00:00,-17.8273,-14.624,-9.4035,-7.2982,-5.5443,-4.188,-3.1443
12/06/1999,12:00:00,-17.7082,-14.5602,-9.5407,-7.4304,-5.6624,-4.246,-3.1808
12/07/1999,0:00:00,-17.8273,-14.759,-9.7185,-7.5574,-5.7751,-4.3515,-3.2799
12/07/1999,12:00:00,-17.4581,-14.6047,-9.8162,-7.696,-5.8669,-4.4097,-3.3059
12/08/1999,0:00:00,-17.4096,-14.6626,-9.9545,-7.8458,-6.0071,-4.4995,-3.4102
12/08/1999,12:00:00,-16.4008,-14.0454,-9.9719,-7.907,-6.0988,-4.5949,-3.4575
12/09/1999,0:00:00,-15.5769,-13.5184,-9.9314,-8.007,-6.1906,-4.6904,-3.5411
12/09/1999,12:00:00,-15.867,-13.6493,-9.9719,-8.0683,-6.2935,-4.7697,-3.6141
12/10/1999,0:00:00,-19.192,-15.6369,-10.0935,-8.0851,-6.3151,-4.7965,-3.6405
12/10/1999,12:00:00,-17.569,-14.637,-10.1167,-8.1576,-6.4019,-4.9028,-3.7243
12/11/1999,0:00:00,-16.5354,-14.0959,-10.0935,-8.2246,-6.4891,-4.9666,-3.7923
12/11/1999,12:00:00,-17.569,-14.7396,-10.2269,-8.2693,-6.5269,-5.0304,-3.8291
12/12/1999,0:00:00,-17.7366,-14.8425,-10.3198,-8.3255,-6.5761,-5.0891,-3.8921
12/12/1999,12:00:00,-18.0238,-15.0946,-10.4304,-8.4096,-6.6414,-5.1157,-3.9447
12/13/1999,0:00:00,-19.6035,-16.0868,-10.6229,-8.4994,-6.7067,-5.201,-4.013
12/13/1999,12:00:00,-20.5339,-16.8133,-10.8282,-8.6062,-6.794,-5.2385,-4.055
12/14/1999,0:00:00,-20.9405,-17.1616,-11.0227,-8.7244,-6.876,-5.3026,-4.1181
12/14/1999,12:00:00,-21.6196,-17.7505,-11.2533,-8.877,-6.9746,-5.4099,-4.1709
12/15/1999,0:00:00,-21.9455,-17.9883,-11.4613,-9.0188,-7.0787,-5.4579,-4.229
12/15/1999,12:00:00,-22.3557,-18.3562,-11.676,-9.1777,-7.205,-5.5275,-4.2974
12/16/1999,0:00:00,-23.1696,-18.9515,-11.91,-9.3487,-7.2984,-5.6242,-4.3555
12/16/1999,12:00:00,-23.7338,-19.5067,-12.1514,-9.5143,-7.4305,-5.7211,-4.4348
12/17/1999,0:00:00,-21.4307,-18.0728,-12.23,-9.6751,-7.5575,-5.7962,-4.4823
12/17/1999,12:00:00,-20.473,-17.5829,-12.321,-9.8187,-7.696,-5.8933,-4.5881
12/18/1999,0:00:00,-20.3895,-17.5065,-12.3636,-9.9339,-7.8069,-5.9795,-4.6516
12/18/1999,12:00:00,-21.0023,-17.799,-12.3998,-10.0206,-7.9125,-6.0822,-4.7312
12/19/1999,0:00:00,-21.4621,-18.0589,-12.4732,-10.0843,-7.9846,-6.1524,-4.8056
12/19/1999,12:00:00,-22.429,-18.7424,-12.6135,-10.1594,-8.0905,-6.2769,-4.8854
12/20/1999,0:00:00,-22.7885,-19.0094,-12.7114,-10.2294,-8.1574,-6.342,-4.9599
12/20/1999,12:00:00,-22.6492,-18.8719,-12.7604,-10.299,-8.2468,-6.4292,-5.029
12/21/1999,0:00:00,-23.0529,-19.1767,-12.84,-10.3921,-8.2915,-6.4997,-5.1142
12/21/1999,12:00:00,-23.5814,-19.6174,-12.9323,-10.4562,-8.3645,-6.5596,-5.1408
12/22/1999,0:00:00,-23.2193,-19.3598,-13.0309,-10.491,-8.4318,-6.6249,-5.2261
12/22/1999,12:00:00,-20.6946,-17.8412,-12.963,-10.5787,-8.4822,-6.6574,-5.2849
12/23/1999,0:00:00,-21.3055,-18.1296,-12.9509,-10.6431,-8.5665,-6.7286,-5.3277
12/23/1999,12:00:00,-18.5349,-16.5157,-12.8155,-10.655,-8.6284,-6.8159,-5.3922
12/24/1999,0:00:00,-17.0246,-15.4661,-12.6624,-10.655,-8.6624,-6.8489,-5.483
12/24/1999,12:00:00,-15.9731,-14.7396,-12.4425,-10.6254,-8.679,-6.9087,-5.4936
12/25/1999,0:00:00,-16.7114,-15.0169,-12.3452,-10.5611,-8.7241,-6.9748,-5.5741
12/25/1999,12:00:00,-17.3683,-15.2573,-12.1697,-10.4562,-8.7015,-7.0129,-5.617
12/26/1999,0:00:00,-19.968,-16.7929,-12.1816,-10.3921,-8.6624,-6.9967,-5.6331
12/26/1999,12:00:00,-20.6254,-17.203,-12.23,-10.3455,-8.651,-6.9967,-5.6493
12/27/1999,0:00:00,-20.7252,-17.3822,-12.2784,-10.3455,-8.6284,-7.0129,-5.6817
12/27/1999,12:00:00,-21.6196,-17.9602,-12.4425,-10.3921,-8.651,-7.024,-5.719
12/28/1999,0:00:00,-22.0735,-18.2637,-12.5583,-10.4562,-8.6624,-7.0405,-5.7835
12/28/1999,12:00:00,-22.5833,-18.692,-12.7114,-10.4677,-8.679,-7.0405,-5.7835
12/29/1999,0:00:00,-21.8499,-18.3278,-12.7909,-10.6021,-8.7466,-7.1063,-5.8213
12/29/1999,12:00:00,-21.7228,-18.285,-12.9138,-10.6723,-8.8258,-7.1502,-5.8538
12/30/1999,0:00:00,-21.7863,-18.3278,-12.9876,-10.766,-8.8825,-7.1996,-5.9184
12/30/1999,12:00:00,-22.5507,-18.8142,-13.0802,-10.8307,-8.9444,-7.2382,-5.9346
12/31/1999,0:00:00,-23.4375,-19.4112,-13.1856,-10.8603,-9.0127,-7.2822,-5.9777
12/31/1999,12:00:00,-23.4122,-19.5067,-13.3467,-10.9958,-9.0863,-7.3594,-6.0425
01/01/2000,0:00:00,-21.4936,-18.3562,-13.3467,-11.0724,-9.1317,-7.3923,-6.0641
01/01/2000,12:00:00,-18.2711,-16.4685,-13.26,-11.1611,-9.2227,-7.4972,-6.1668
01/02/2000,0:00:00,-17.6803,-16.0602,-13.1609,-11.1847,-9.2626,-7.5414,-6.1775
01/02/2000,12:00:00,-18.1722,-16.2539,-13.0616,-11.1611,-9.3081,-7.5693,-6.2207
01/03/2000,0:00:00,-16.0864,-14.8941,-12.8155,-11.1196,-9.3309,-7.6136,-6.2804
01/03/2000,12:00:00,-17.0246,-15.3616,-12.7114,-11.0487,-9.3537,-7.68,-6.3511
01/04/2000,0:00:00,-19.7074,-16.9495,-12.7604,-10.9958,-9.3309,-7.6963,-6.3888
01/04/2000,12:00:00,-16.3203,-14.8104,-12.4732,-10.9309,-9.3309,-7.6963,-6.4108
01/05/2000,0:00:00,-15.5244,-14.2733,-12.2967,-10.8307,-9.2909,-7.7131,-6.4543
01/05/2000,12:00:00,-18.6494,-16.007,-12.2784,-10.766,-9.2227,-7.6963,-6.4543
01/06/2000,0:00:00,-20.3517,-17.0933,-12.3636,-10.6723,-9.1999,-7.6963,-6.492
01/06/2000,12:00:00,-19.419,-16.5157,-12.2784,-10.655,-9.1544,-7.68,-6.492
01/07/2000,0:00:00,-18.1722,-15.7224,-12.1816,-10.6431,-9.1544,-7.6963,-6.5138
01/07/2000,12:00:00,-16.7994,-14.8683,-12.0608,-10.5787,-9.1317,-7.6963,-6.5248
01/08/2000,0:00:00,-16.6435,-14.7396,-11.9825,-10.5144,-9.0863,-7.6963,-6.5248
01/08/2000,12:00:00,-16.6435,-14.6883,-11.9344,-10.491,-9.0863,-7.6963,-6.5412
01/09/2000,0:00:00,-19.419,-16.4147,-12.0367,-10.4562,-9.0636,-7.68,-6.563
01/09/2000,12:00:00,-19.737,-16.7048,-12.0367,-10.4562,-9.041,-7.6578,-6.563
01/10/2000,0:00:00,-19.4928,-16.5157,-12.0367,-10.4562,-9.041,-7.68,-6.5847
01/10/2000,12:00:00,-18.0589,-15.6171,-11.8922,-10.4154,-9.0127,-7.6578,-6.563
01/11/2000,0:00:00,-16.881,-14.8104,-11.784,-10.3688,-9.0127,-7.68,-6.6065
01/11/2000,12:00:00,-16.5151,-14.5602,-11.6282,-10.299,-8.9901,-7.6578,-6.5847
01/12/2000,0:00:00,-16.8338,-14.6626,-11.5985,-10.2294,-8.9444,-7.6578,-6.5847
01/12/2000,12:00:00,-18.4993,-15.828,-11.7,-10.2294,-8.9674,-7.6578,-6.65
01/13/2000,0:00:00,-16.9356,-14.759,-11.5566,-10.1887,-8.8992,-7.6357,-6.6065
01/13/2000,12:00:00,-17.2924,-14.9457,-11.5089,-10.1423,-8.8825,-7.6136,-6.6065
01/14/2000,0:00:00,-16.8338,-14.637,-11.4374,-10.096,-8.8373,-7.6136,-6.6283
01/14/2000,12:00:00,-17.7645,-15.1984,-11.4374,-10.0843,-8.8599,-7.6136,-6.6665
01/15/2000,0:00:00,-18.5921,-15.7488,-11.4851,-10.0668,-8.8373,-7.6136,-6.6665
01/15/2000,12:00:00,-17.3683,-14.9135,-11.3661,-10.0437,-8.8088,-7.5914,-6.6283
01/16/2000,0:00:00,-15.854,-13.9694,-11.2296,-10.0031,-8.7918,-7.5914,-6.6665
01/16/2000,12:00:00,-16.9356,-14.5346,-11.2176,-9.9339,-8.7466,-7.5693,-6.65
01/17/2000,0:00:00,-16.4749,-14.2733,-11.2176,-9.9108,-8.7466,-7.5693,-6.65
01/17/2000,12:00:00,-17.4581,-14.9135,-11.2176,-9.8995,-8.7466,-7.5914,-6.6936
01/18/2000,0:00:00,-17.59,-15.0169,-11.2176,-9.8821,-8.7241,-7.5693,-6.6936
01/18/2000,12:00:00,-17.6803,-15.0686,-11.2176,-9.8647,-8.7015,-7.5693,-6.6936
01/19/2000,0:00:00,-18.2711,-15.4335,-11.2176,-9.8417,-8.679,-7.5693,-6.6936
01/19/2000,12:00:00,-18.5921,-15.6762,-11.2176,-9.8187,-8.6624,-7.5527,-6.6825
01/20/2000,0:00:00,-18.8003,-15.8016,-11.2176,-9.8417,-8.6624,-7.5527,-6.6936
01/20/2000,12:00:00,-18.5635,-15.6762,-11.2176,-9.8187,-8.6624,-7.5527,-6.6936
01/21/2000,0:00:00,-18.9376,-15.8679,-11.2176,-9.8187,-8.6624,-7.5527,-6.7154
01/21/2000,12:00:00,-17.8273,-15.218,-11.2176,-9.8417,-8.679,-7.5693,-6.7372
01/22/2000,0:00:00,-17.4581,-14.8941,-11.1822,-9.7956,-8.651,-7.5414,-6.6825
01/22/2000,12:00:00,-18.2711,-15.4528,-11.2176,-9.7956,-8.6624,-7.5527,-6.7372
01/23/2000,0:00:00,-17.0246,-14.637,-11.1586,-9.7956,-8.651,-7.5527,-6.7154
01/23/2000,12:00:00,-17.1068,-14.637,-11.1171,-9.7956,-8.651,-7.5693,-6.7372
01/24/2000,0:00:00,-18.4777,-15.5908,-11.2176,-9.8187,-8.679,-7.6136,-6.7809
01/24/2000,12:00:00,-19.3973,-16.207,-11.277,-9.8187,-8.679,-7.5914,-6.7973
01/25/2000,0:00:00,-19.7964,-16.5157,-11.3424,-9.8417,-8.679,-7.5914,-6.7973
01/25/2000,12:00:00,-18.7715,-15.8679,-11.3424,-9.8821,-8.7241,-7.6357,-6.8192
01/26/2000,0:00:00,-16.4008,-14.2924,-11.2176,-9.8821,-8.7015,-7.6357,-6.8192
01/26/2000,12:00:00,-14.6231,-13.1458,-11.0699,-9.8821,-8.7466,-7.6578,-6.8629
01/27/2000,0:00:00,-13.9555,-12.6791,-10.9755,-9.8417,-8.7466,-7.68,-6.8629
01/27/2000,12:00:00,-14.6231,-13.0779,-10.9284,-9.8187,-8.7466,-7.6963,-6.874
01/28/2000,0:00:00,-15.4982,-13.612,-10.9519,-9.7956,-8.7241,-7.68,-6.8629
01/28/2000,12:00:00,-14.9318,-13.2512,-10.9284,-9.7956,-8.7241,-7.6963,-6.8958
01/29/2000,0:00:00,-15.2955,-13.4123,-10.8813,-9.7726,-8.7241,-7.6963,-6.8958
01/29/2000,12:00:00,-14.9318,-13.2139,-10.8578,-9.7726,-8.7241,-7.7131,-6.9177
01/30/2000,0:00:00,-14.7965,-13.1272,-10.8401,-9.7497,-8.7241,-7.7243,-6.9338
01/30/2000,12:00:00,-15.6493,-13.612,-10.8282,-9.721,-8.7015,-7.7131,-6.9338
01/31/2000,0:00:00,-15.4196,-13.5184,-10.8282,-9.721,-8.7015,-7.7243,-6.9615
